nombre_comuna, id_comuna, id_provincia_id
Iquique, 1101, 11
Alto Hospicio, 1107, 11
Pozo Almonte, 1401, 14
Camiña, 1402, 14
Colchane, 1403, 14
Huara, 1404, 14
Pica, 1405, 14
Antofagasta, 2101, 21
Mejillones, 2102, 21
Sierra Gorda, 2103, 21
Taltal, 2104, 21
Calama, 2201, 22
Ollagüe, 2202, 22
San Pedro de Atacama, 2203, 22
Tocopilla, 2301, 23
María Elena, 2302, 23
Copiapó, 3101, 31
Caldera, 3102, 31
Tierra Amarilla, 3103, 31
Chañaral, 3201, 32
Diego de Almagro, 3202, 32
Vallenar, 3301, 33
Alto del Carmen, 3302, 33
Freirina, 3303, 33
Huasco, 3304, 33
La Serena, 4101, 41
Coquimbo, 4102, 41
Andacollo, 4103, 41
La Higuera, 4104, 41
Paiguano, 4105, 41
Vicuña, 4106, 41
Illapel, 4201, 42
Canela, 4202, 42
Los Vilos, 4203, 42
Salamanca, 4204, 42
Ovalle, 4301, 43
Combarbalá, 4302, 43
Monte Patria, 4303, 43
Punitaqui, 4304, 43
Río Hurtado, 4305, 43
Valparaíso, 5101, 51
Casablanca, 5102, 51
Concón, 5103, 51
Juan Fernández, 5104, 51
Puchuncaví, 5105, 51
Quintero, 5107, 51
Viña del Mar, 5109, 51
Isla  de Pascua, 5201, 52
Los Andes, 5301, 53
Calle Larga, 5302, 53
Rinconada, 5303, 53
San Esteban, 5304, 53
La Ligua, 5401, 54
Cabildo, 5402, 54
Papudo, 5403, 54
Petorca, 5404, 54
Zapallar, 5405, 54
Quillota, 5501, 55
Calera, 5502, 55
Hijuelas, 5503, 55
La Cruz, 5504, 55
Nogales, 5506, 55
San Antonio, 5601, 56
Algarrobo, 5602, 56
Cartagena, 5603, 56
El Quisco, 5604, 56
El Tabo, 5605, 56
Santo Domingo, 5606, 56
San Felipe, 5701, 57
Catemu, 5702, 57
Llaillay, 5703, 57
Panquehue, 5704, 57
Putaendo, 5705, 57
Santa María, 5706, 57
Quilpué, 5801, 58
Limache, 5802, 58
Olmué, 5803, 58
Villa Alemana, 5804, 58
Rancagua, 6101, 61
Codegua, 6102, 61
Coinco, 6103, 61
Coltauco, 6104, 61
Doñihue, 6105, 61
Graneros, 6106, 61
Las Cabras, 6107, 61
Machalí, 6108, 61
Malloa, 6109, 61
Mostazal, 6110, 61
Olivar, 6111, 61
Peumo, 6112, 61
Pichidegua, 6113, 61
Quinta de Tilcoco, 6114, 61
Rengo, 6115, 61
Requínoa, 6116, 61
San Vicente, 6117, 61
Pichilemu, 6201, 62
La Estrella, 6202, 62
Litueche, 6203, 62
Marchihue, 6204, 62
Navidad, 6205, 62
Paredones, 6206, 62
San Fernando, 6301, 63
Chépica, 6302, 63
Chimbarongo, 6303, 63
Lolol, 6304, 63
Nancagua, 6305, 63
Palmilla, 6306, 63
Peralillo, 6307, 63
Placilla, 6308, 63
Pumanque, 6309, 63
Santa Cruz, 6310, 63
Talca, 7101, 71
Constitución, 7102, 71
Curepto, 7103, 71
Empedrado, 7104, 71
Maule, 7105, 71
Pelarco, 7106, 71
Pencahue, 7107, 71
Río Claro, 7108, 71
San Clemente, 7109, 71
San Rafael, 7110, 71
Cauquenes, 7201, 72
Chanco, 7202, 72
Pelluhue, 7203, 72
Curicó, 7301, 73
Hualañé, 7302, 73
Licantén, 7303, 73
Molina, 7304, 73
Rauco, 7305, 73
Romeral, 7306, 73
Sagrada Familia, 7307, 73
Teno, 7308, 73
Vichuquén, 7309, 73
Linares, 7401, 74
Colbún, 7402, 74
Longaví, 7403, 74
Parral, 7404, 74
Retiro, 7405, 74
San Javier, 7406, 74
Villa Alegre, 7407, 74
Yerbas Buenas, 7408, 74
Concepción, 8101, 81
Coronel, 8102, 81
Chiguayante, 8103, 81
Florida, 8104, 81
Hualqui, 8105, 81
Lota, 8106, 81
Penco, 8107, 81
San Pedro de la Paz, 8108, 81
Santa Juana, 8109, 81
Talcahuano, 8110, 81
Tomé, 8111, 81
Hualpén, 8112, 81
Lebu, 8201, 82
Arauco, 8202, 82
Cañete, 8203, 82
Contulmo, 8204, 82
Curanilahue, 8205, 82
Los Álamos, 8206, 82
Tirúa, 8207, 82
Los Ángeles, 8301, 83
Antuco, 8302, 83
Cabrero, 8303, 83
Laja, 8304, 83
Mulchén, 8305, 83
Nacimiento, 8306, 83
Negrete, 8307, 83
Quilaco, 8308, 83
Quilleco, 8309, 83
San Rosendo, 8310, 83
Santa Bárbara, 8311, 83
Tucapel, 8312, 83
Yumbel, 8313, 83
Alto Biobío, 8314, 83
Temuco, 9101, 91
Carahue, 9102, 91
Cunco, 9103, 91
Curarrehue, 9104, 91
Freire, 9105, 91
Galvarino, 9106, 91
Gorbea, 9107, 91
Lautaro, 9108, 91
Loncoche, 9109, 91
Melipeuco, 9110, 91
Nueva Imperial, 9111, 91
Padre Las Casas, 9112, 91
Perquenco, 9113, 91
Pitrufquén, 9114, 91
Pucón, 9115, 91
Saavedra, 9116, 91
Teodoro Schmidt, 9117, 91
Toltén, 9118, 91
Vilcún, 9119, 91
Villarrica, 9120, 91
Cholchol, 9121, 91
Angol, 9201, 92
Collipulli, 9202, 92
Curacautín, 9203, 92
Ercilla, 9204, 92
Lonquimay, 9205, 92
Los Sauces, 9206, 92
Lumaco, 9207, 92
Purén, 9208, 92
Renaico, 9209, 92
Traiguén, 9210, 92
Victoria, 9211, 92
Puerto Montt, 10101, 101
Calbuco, 10102, 101
Cochamó, 10103, 101
Fresia, 10104, 101
Frutillar, 10105, 101
Los Muermos, 10106, 101
Llanquihue, 10107, 101
Maullín, 10108, 101
Puerto Varas, 10109, 101
Castro, 10201, 102
Ancud, 10202, 102
Chonchi, 10203, 102
Curaco de Vélez, 10204, 102
Dalcahue, 10205, 102
Puqueldón, 10206, 102
Queilén, 10207, 102
Quellón, 10208, 102
Quemchi, 10209, 102
Quinchao, 10210, 102
Osorno, 10301, 103
Puerto Octay, 10302, 103
Purranque, 10303, 103
Puyehue, 10304, 103
Río Negro, 10305, 103
San Juan de la Costa, 10306, 103
San Pablo, 10307, 103
Chaitén, 10401, 104
Futaleufú, 10402, 104
Hualaihué, 10403, 104
Palena, 10404, 104
Coihaique, 11101, 111
Lago Verde, 11102, 111
Aisén, 11201, 112
Cisnes, 11202, 112
Guaitecas, 11203, 112
Cochrane, 11301, 113
OHiggins, 11302, 113
Tortel, 11303, 113
Chile Chico, 11401, 114
Río Ibáñez, 11402, 114
Punta Arenas, 12101, 121
Laguna Blanca, 12102, 121
Río Verde, 12103, 121
San Gregorio, 12104, 121
Cabo de Hornos, 12201, 122
Antártica, 12202, 122
Porvenir, 12301, 123
Primavera, 12302, 123
Timaukel, 12303, 123
Natales, 12401, 124
Torres del Paine, 12402, 124
Santiago, 13101, 131
Cerrillos, 13102, 131
Cerro Navia, 13103, 131
Conchalí, 13104, 131
El Bosque, 13105, 131
Estación Central, 13106, 131
Huechuraba, 13107, 131
Independencia, 13108, 131
La Cisterna, 13109, 131
La Florida, 13110, 131
La Granja, 13111, 131
La Pintana, 13112, 131
La Reina, 13113, 131
Las Condes, 13114, 131
Lo Barnechea, 13115, 131
Lo Espejo, 13116, 131
Lo Prado, 13117, 131
